parameter,factor,parameter value,Atomization Energy MAE (kcal/mol),Total Energy MAE (kcal/mol),Pairwise Distance MAE,Pairwise Distance Frobenius Norm
a1,0.8,0.416,447.16861045752887,8436.629131214302,0.40246443782486574,5.341198188051235
a1,0.9,0.468,465.94561553498727,8384.836193027624,0.36822044325866077,4.822833638528214
a1,1.0,0.52,450.54189722383666,8402.476356364294,0.38372028931124363,5.053569713682156
a1,1.1,0.572,467.4702379665057,8385.26943696351,0.37035684035289473,4.830669231357877
a1,1.2,0.624,456.34783815024616,8383.214394426808,0.38162363626937645,5.07169483664865
a2,0.8,4.0,438.730714866683,8427.218835833215,0.40623922810881463,5.4216857281011
a2,0.9,4.5,452.2930289158151,8414.527526161506,0.3957831820337643,5.250566681419767
a2,1.0,5.0,455.6662260697791,8423.110986689615,0.39671719650072423,5.162178284970582
a2,1.1,5.5,460.21917347876877,8404.795288994188,0.3905170339733729,5.120659907838038
a2,1.2,6.0,537.3916414144903,8326.816313819883,0.4016129321645661,5.3424405096133585
aesdmp3,0.8,2.4,463.5488663246348,8383.308743251544,0.38195608229753536,4.991053800926005
aesdmp3,0.9,2.7,459.14291973330495,8406.115275065138,0.3837318637763233,5.028532033480216
aesdmp3,1.0,3.0,463.0874038552306,8376.940995638653,0.3759589520975812,4.930985117807593
aesdmp3,1.1,3.3,457.8550143366895,8384.156785774518,0.38171997726997997,5.02780621156336
aesdmp3,1.2,3.6,454.09816279447153,8433.180246325552,0.3832250657309164,5.0668567381222855
aesdmp5,0.8,3.2,460.3116484871404,8385.934970233668,0.38729435223211084,5.083104129566887
aesdmp5,0.9,3.6,463.00951390183104,8376.87370624934,0.3760545091272317,4.95039449696702
aesdmp5,1.0,4.0,450.54189722383666,8402.476356364288,0.3839612770548183,5.056098205026447
aesdmp5,1.1,4.4,456.11331548383106,8417.920926455261,0.3856322682307966,5.065108199717188
aesdmp5,1.2,4.8,457.97796885647614,8384.274468995247,0.38332245541871957,5.039679787248629
aesexp,0.8,3.2,457.8068895200492,8386.210993808569,0.3859084724805869,5.049332332628831
aesexp,0.9,3.6,453.69241042051,8386.071546733281,0.3850270892093274,5.032051356036617
aesexp,1.0,4.0,450.5418972238439,8402.476356364294,0.383959952610633,5.056101660305668
aesexp,1.1,4.4,455.9405683605633,8422.514494870991,0.393122341731219,5.178737077906966
aesexp,1.2,4.8,455.5975634726525,8393.596487187557,0.37519316624786314,4.974145432512151
aesrmax,0.8,4.0,454.70291272971366,8402.936921563196,0.39214821299743324,5.1463942882541955
aesrmax,0.9,4.5,457.3490449545708,8437.728737275533,0.38254881397874835,4.9959260384247655
aesrmax,1.0,5.0,450.54189722383666,8402.476356364288,0.3839599526719985,5.0561016619937496
aesrmax,1.1,5.5,450.02532855928814,8414.537887347647,0.39674458807586505,5.157174765349585
aesrmax,1.2,6.0,458.7917918807224,8376.832486978363,0.3790960290552807,4.985286310296083
aesshift,0.8,0.96,530.2996303498178,8324.477764661688,0.40251468049077554,5.3699918517586385
aesshift,0.9,1.08,459.1389493778129,8406.094383702237,0.3925244687140393,5.112012150196299
aesshift,1.0,1.2,538.5799981240993,8298.320573946865,0.40198682249458645,5.340646703681452
aesshift,1.1,1.32,537.5975674559121,8331.924641275275,0.40926848271455973,5.3895459630350055
aesshift,1.2,1.44,445.3215896029953,8420.739364722232,0.40257234112935636,5.24383087983426
alphaj,0.8,1.6,492.12828321416396,8319.958885856628,0.23138326164207837,2.812953492102442
alphaj,0.9,1.8,496.66922536667585,8346.5353314899,0.2681942714653079,3.2629208047651614
alphaj,1.0,2.0,491.7427293855515,8440.303848074453,0.2538714515518634,3.054340140321835
alphaj,1.1,2.2,495.2160429343189,8271.32395236485,0.2427903196575362,2.919619664753739
alphaj,1.2,2.4,508.4791867523128,8394.098309257852,0.23669983423288285,2.8646552920541417
enscale,0.8,1.6,444.9224788201432,8402.730823954635,0.39085870718474,5.152957175160496
enscale,0.9,1.8,457.885614158541,8391.948268414362,0.3789037407871771,5.01293648826017
enscale,1.0,2.0,450.54189722383666,8402.476356364288,0.3839599408830675,5.056101275108448
enscale,1.1,2.2,455.51739027692986,8387.927693961597,0.3860400761855489,5.048709374128695
enscale,1.2,2.4,459.4881155424358,8401.681734186264,0.38710094494630376,5.052586556106641
gam3d1,0.8,0.2,537.0038905714351,8331.698072683115,0.4077135711456717,5.3943336107460915
